,full,dry,sherry,big,light,smooth,clean,fruit,grass,smoke,sweet,spice,oil,salt,arome
Aberfeldy,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Aberlour,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0
Ardberg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Ardmore,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
Auchentosh,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0
Aultmore,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
Balblair,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
Balmenach,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Balvenie,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Banff,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
Ben Nevis,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Benriach,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Benrinnes,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Benromach,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0
Bladnoch,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blair Atho,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1
Bowmore,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Brackla,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
Bruichladd,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0
Bunnahabha,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
Caol Ila,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Caperdonic,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Cardhu,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Clynelish,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0
Coleburn,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1
Convalmore,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
Cragganmor,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Craigellac,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Dailuaine,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
Dallas Dhu,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Dalmore,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
Dalwhinnie,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1
Deanston,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Dufftown,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0
Edradour,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0
Fettercair,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
Glen  Alby,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
Glenallach,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Glenburgie,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
Glencadam,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Glen Dever,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Glendronac,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Glendullan,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1
Glen Elgin,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
Glenesk,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
Glenfarcla,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Glenfiddic,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0
Glen Gario,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
Glenglassa,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Glengoyne,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Glen Grant,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
Glen Keith,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0
Glenkinchi,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0
Glenlivet,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1
Glenlochy,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
Glenlossie,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0
Glen Mhor,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0
Glenmorang,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
Glen Moray,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Glen Ordie,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0
Glenrothes,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0
Glen Scoti,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Glen Spey,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1
Glentauche,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0
Glenturret,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Glenugie,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0
Glenury Ro,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
Highland P,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
Imperial,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Inchgower,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Inchmurrin,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
Inverleven,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Jura,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
Kinclaith,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
Knockando,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0
Knockdhu,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Ladyburn,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
Lagavulin,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
Laphroaig,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Linkwood,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0
Littlemill,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Lochnagar,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0
Lochside,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Longmorn,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0
Macallan,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Millburn,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
Miltonduff,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
Mortlach,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0
North Port,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
Oban,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0
Port Ellen,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1
Pulteney,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0
Rosebank,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
Saint Magd,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
Scapa,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Singleton,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
Speyburn,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
Springbank,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
Longrow,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Strathisla,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0
Talisker,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0
Tamdhu,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Tamnavulin,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Teaninich,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0
Tobermory,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
Tomatin,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
Tomintoul,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Tormore,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Tullibardi,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0
