Subject,Grain,Husk,Green,Vegetable,Earthy,Wood,Spices,Roasted Flavors,Malty,Nuts,Sweet Wine,Spirits,Microbiological,Technological,Chemical,Basic Taste,Trigeminal,Blossom,Stone Fruit,Pipfruit,Citrus,Exotic,Dried Fruit,Color,Order
AkashI,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,4,1.1,10
Askaig,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1.2,6
Aultmore,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6,8
Balvenie,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,1,3
Bunnahabhain,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.6,9
Dalwhinnie,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,4,1.3,1
Glenmorangie Tarlogan,0,0,0,0,0,0,2,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1.3,7
Glenmorangie Tayne,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0.9,2
Method&Madness,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0.7,5
Nikka,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1.3,4