Subject,Grain,Husk,Green,Vegetable,Earthy,Wood,Spices,Roasted Flavors,Malty,Nuts,Sweet Wine,Spirits,Microbiological,Technological,Chemical,Basic Taste,Trigeminal,Blossom,Stone Fruit,Pipfruit,Citrus,Exotic,Dried Fruit,color,
Akashi,0,0,0,0,2,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1.1,8
Askaig,0,0,0,0,3,5,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.2,4
Aultmore,0,0,3,4,0,0,0,0,1,0,0,0,0,0,3,0,5,3,0,0,2,0,0,1,3
Balvenie,0,0,0,2,0,0,0,1,1,0,2,0,0,0,0,0,4,2,0,0,0,0,0,1,10
Bunnahabhain,0,0,0,2,0,0,0,4,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1.1,7
Dalwhinnie,0,0,0,0,2,0,0,1,3,1,0,3,0,0,0,0,0,4,0,0,2,0,0,1,5
Glenmorangie Tarlogan,3,0,3,1,0,4,0,4,3,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1.1,1
Glenmorangie Tayne,0,0,0,2,3,3,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1.3,9
Method&Madness,0,0,0,0,0,0,2,1,4,5,0,4,0,0,0,0,0,3,0,0,0,4,0,1.3,6
Nikka,3,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,2
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,